Nama,Komentar
Angler GESTREK,Salut juga sama pemain China.. Sportif jemput peluk ucap selamat buat Greysa dan Apriyani.. 👍💕
Ulih Kz,Sangat membanggakan ga bosen2 liat videonya meskipun sudah melihat nya berkali2 😍😍
Zainudin Aja,Terharu melihat kalian 😭
TVS EXCA RC,terharu menangis..indonesia bisa..terima kasih greysia&apriyani tim🙏
Sinau Ngeyoutube,wuih mantap bosku akirnya Indonesia menjadi kebanggaan
Abizard Fahry,Lihat mereka nangis komentator nangis ikutan nangis selamat buat kak Gress dan Apriyani terimakasih telah beri kado buat Indonesia di hari ultah 17 Agustus 2021
SKUY MOBILE LEGENDS,"Kami tau dan kami sadar negeri ini banyak sekali koruptor.   Tapi entah kenapa kami masih mencintai negeri kita ini 😭😭😭
Terima pahlawan ku"
arsa 212,seMangat membara dan tEkad menjadi juara ...
Vera kurnia putri,"Terimakasih kalian luar biasaa ... Sehat selalu buat kalian semua,,,"
Roncoed Project.,Mantap. Sehat selalu buat kalian. Terharu liatnya sampai merinding
mt_ studio,"Di Olympiade selanjutnya semoga menular ke olahraga yang lain, selamat buat Polli dan Rahayu 👍👍👍👍"
KAPTEN SAMURAI,"Bulu tangkis indonesia sudah baik tinggal sepak bola yg harus di benahi!
I Love Sepak Bola indonesia💪👍
Respek Bulu tangkis indonesia💪👍"
Umma13,"Bangga yang tak terkira..

Terimakasih pahlawan"
DOMINIC TORRETO,"Good job,keep it up 🔥🔥"
BAGOLD,Selamat kalian jadi kebanggaan indonesia. Subarashii…
Rohannahor 212,"Kemenangan ini tetasa luar biasa mengingat mereka tidak diunggulkan. Tetapi dengan kerja keras dan semangat pantang menyerah, mereka dapat mengobati mimpi emas bulutangkis Indonesia, karena pemain lain yang lebih diunggulkan, ternyata tidak dapat mencapai hasil sesuai ekspektasi kita semua. Kita semua hormat bukan sekedar karena medali emasnya, tetapi lebih kepada semangatnya yang tidak mengenal lelah...."
Yuyu Yundari,"Hadiah ulang tahun negara . 
Semangat negriku. 
Terimakasih 😍"
Balsi channel,Bangga sekali aku sama anak bangsa semoga kelak banyak lagi yang seperti kalian mengharumkan nama Indonesia
Dimas Leo saputro,"Indonesia bangga dengan kalian
Gbu."
Dewangga Anwar Batistuta,Semoga aja di Olimpiade berikutnya Indonesia menjadi nomor 1 lagi amin yarobal alaminnnn
Arry Irivianto,kita siapa INDONESIA terima kasih buat dua Srikandi indonesia ...sy yg nonton aja menangis  terharu gimana kalian dua di sana.....semangat semoga bermunculan medali2 emas yg lainnya....jayalah negeriku
"agoest moa,e",Berlinang air mata menyaksikanmu mempersembahkan emas olimpiade utk NKRI...trimakasih Graciapoli dan Aprilia.... kami bangga punya pemain hebat seperti kalian....🙏
Apoh Pandapotan,"Bagi Tuhan tidak ada yang mustahil., 
Doa kita didengar., 
Terima kasih Greysia Polii N Apriyani Rahayu."
PARDEDE CHANNEL,Terimakasih Gresia polii dan Apriyani Rahayu mewakili Indonesia Tercinta 💗
Faiz Nurbadrie,WELL PLAY 🔥🔥🔥
Antiek Sukarsono,"Nonton pertandingan mereka, berbagai kata terlontar : amazed, keren, luar biasa, merinding, terharu
Selamat Greysia Polii dan Apriyani Rahayu, kalian hebat banget 👍👍"
Surya indah kencana,Ya Allah merinding liatnya
Adebe Ibe Channel,Kado terindah di ultah NKRI😍
H R Umar Faruq,"Terima kasih Greysia dan Apriyani, telah memberikan kebahagiaan kepada Indonesia. Di tengah pandemi yang masih melanda. Terima kasih...."
Alif boy,"Tunggu saja, pasti akan diundang di podcast om Dedi"
Iphone Six,"Kekalahan minion- kekalahan Dadies- kekalahan Ginting semua terobati oleh Grey dan Apri. Perjuanganmu Luar Biasa 1 Emas Obat untuk Seluruh Rakyat Indonesia 
Terimakasih Kalian Hebat"
ABIE A3 CHANEL,Selamat buat pasangan ganda putri Indonesia smoga emas selanjutnya
Muhammad Rifqi,"Bakalan jadi rekaman legendaris

Ninggalin jejak untuk 10-15 tahun kedepan"
Kang Puad EsTeh,Terharu menyaksikannya. Saya sangat suka dengan olah raga ini. Terus jaya Indosiar.
ShaQira channel,Padahal live nya nonton sampai mewek. Sekarang liat lagi disini mewek juga. 😭😭😭😭
ANAK IMIP,Duet Anak Sulawesipun bisa berprestasi di kancah internasional dan mengharumkan nama bangsa Indonesia. Terimakasih gresyia dan Apriyani atas kadonya untuk HUT kemerdekaan RI.
jk Christ,Masih merinding ampe sekarang stiap liat mereka berdua..
Landscape Photography,"Mohon doanya semoga gorengan, jualan saya hari ini laris dan habis, Amin"
Black Choco,Luar biasa Sekali Indonesia Semangat terus jangan pantang menyerah
Zakaria Ismail,Semoga yg menjadi kebanggaan indonesia ini sehat selalu
ما شاء الله تبارك الله,"Ayoayoo siapa nih yg bilang nyebut pelatihnya ""Pelatih mentok"" nih mereka membuktikan bisa juaraaa , ga mentokkkkk di semifinal !
Alhamdulillah dikabulkan doa2 yg baik, mereka juaraaa ❤️ awalnya si takut mau nonton, jd nunggu kabar aja. Akhirnyaaaaaaaa dpt kabar menyenangkannnnn 😭🙏"
yesi siagian maria,Terimakasih Tuhan. Terimakasih para athet indonesia. Kalian hebat
Andi Permana,Semoga bisa jadi panutan generasi anak bangsa dimasa mendatang..amin
Franky Purba,Olympiade Dari tahun 1992 sampai sekarang 2021 masih atlet Bandminton yg nyumbang medali emas yaa... semangat buat atlet lain semoga bisa menyusul atlet bandminton.. Xan semua luar biasa medali apapun itu Indonesia sangat bangga sekali
R1dh0 Ra1lway55,"Mantaaapp,,bikin saya terharu 😊"
Fitriah Fibi,"Cuma ingetin ke kalian ,
Video ini pernah trending 1 dalam waktu 5 jam,dan membuat semua rakyat Indonesia bangga,,
2 Agustus 2021"
ikyy Fadillah,Aku bangga jadi anak Indonesia 🇮🇩
Fajar Ariyadi,🇮🇩🏆 INDONESIA JUARA 🇮🇩🥇
Marigatupang,Alhamdulillah... mantab djie hwa
Alif Haikal,"Terimakasih,telah mengharumkan nama bangsa kami,siapa kita 
INDONESIA!!!"
Yuni Tika,"Ngga tau lagi masih ada yang dislike,. Padahal ini mengharumkan Indonesia,  Selamat Ka Grey dan kak Apriyanii❤❤ Terharu nyong"
Fhie Alexandrea,Alhamdulillah maju terus Indonesia tanah airku
IIK RN,Congratulation greysia voli dan apriyani ❤️🤝😎
Nonengtriyani Veraauliazahra,saya smpe nangis melihat mereka bangga Indonesia...
kancil acil,sumpah gua nangis liat ini 😭😭😭😭
Yuliana Mgr,"Yessssss 👍👍👍
Terharu ❤️😘😘😘❤️
Tidak ada yg mustahil bagi-Nya 🙏
Love u all ❤️😘😘😘❤️"
tinta digital,coba lihat beberapa taun kedepannya. jadi apa atlit timnas indonesia yang membawa medali emas untuk indonesia. apakah terjamin atau di jamin sama pemerintah. jangan seperti yang sudah sudah.
Sri Suharni,"Pasangan Luar biasa, semangat juang tinggi."
Ridone Alwaysss,Greysia nangis nya telat dikit 😁 liat Apriyani nangis baru langsung kejer nangis nya ❤️❤️❤️
Intan Mustika Kumala,Yallah mewekkk akui😭😭selamatt kakak kakak
Wulan Project,"""Gak Ada yg gk mungkin bagi Allah"" kalimat itu nyata😭 Bersyukur bgt greys and apri nunjukin performa terbaiknya. So proud of you 💞"
INTAN CHANEL,"Selamat terima kasih sudah mengharumkan lagi nama Indonesia ❤️❤️
Jangan lupa mampir ke channel ku 🤍"
KHOTIB RIFQY,"Keren, selamat buat poli dan rahayu 👍"
Sri Wahyuni,"Nangis banget pas menang, bangga😍😍🇲🇨"
Papa Ipul,Terharu menangis dan bangga dgn dua srikandi Indonesia yg telah mengangkat kehormatan bangsa Indonesia di panggung internasional.
chanelSan,"Sudah diputar berkali kali melihat adegan greysia polii menangis histeris dipelukan pelatih karena bahagia atas kemenangan ini, dan berkali kali juga saya menangis terharu menyaksikannya."
Om Erte,Olahraga terbukti menyatukan persatuan Indonesia....maksimalkan
sar wan,Selamat dan pertahan kemenangan bulu tangkis ganda putri indonesia ke jenjang berikutnya amin I LOVE YOU gresia/ afriyani
Manur Simanjuntak,"Sangat bangga, terharu melihat nya smpai sy menangis"
Erista praheswari,Amazing.... Congragulation!!! Good job... Suka cita di tengah duka bangsa. Minggir dulu COVID 19...Grecia Polli Apriani tatas libas tuntas... Landing dg medali emas... Sebuah kado terindah untuk HUT Kemerdekaan RI... Siapa kita??? Siapa kita??? INDONESIA... We all loving you!!! Lope U Puolllah Pokoke... Jozzz gandos takendos2... BRAVO!!
Aura Septiani,"Tanpa sadar gua nntn ini ketawa ketawa seneng sampai ngeluarin air mata, hebat banget kalian berdua!"
Advokat Muda Official,"Selamat buat gresya polii/Apriyani Rahayu yang sudah membanggakan dan mengharumkan nama Indonesia di Kanca Internasional
God Bless u buat kalian berdua"
UJU KIAN Mancing,kami juga bangga terhadap gresya poli dan apriliani..... Kado Kemerdekan RI yg mereka persembahkan 👍👍..congratulation 🙏🙏
Imam Fadilah,GGWP 🔥
Cýgnus _nyeh,Sehat selalu-kalian pantas mendpt pujiandr seluruh dunia terkhusus indonesia.immanuel amin.
Just Chill,"2:00 momen ini nih, yang selalu bikin aku terharu sekaligus baper. Saat Apriyani gendong kakaknya, Greysia. Tiap dapet poin pun Apriliya selalu cium tangan Greysia. Apriyanii kamu terlalu gentle buat jadi seorang cewek. :'')"
Al Fatih Update,"Kemarin udah nonton pertandingan live, sering liat di tiktok, baru buka diyoutube dan masih mewek..."
Yayang Erna Nurjayanti,:. IMUN!!!!!!! MasyaaAllah alhamdulillaah
Angler Sulbar,Masya Allah..terharu melihatnya
ydr id official,Bangga banget dah pokoknya. Indonesia ❤️❤️🎉🎉
Winda Ferlanti,"CONGRATS GIRLS!!!😭 SELAMAT ATAS PERJUANGAN KALIAN, WE'RE TOTALLY PROUD OF YOU😭👏"
Aswar_Family,"Selamat,,, Salam Indonesia Jaya👏👏👏🙏💙"
Dzakira kiting,Semangat terus atlet indonesia
Edi Sarwo,Tetap merinding nangis nonton nya
IS MULYA,"👍kemenangn srikandi indonesia di ajang kompetisi bergengsi olimpiade tokyo merupkn kebnggaan milik kita bersma "" NKRI ""  🇮🇩🇮🇩🇮🇩 💟👌"
Winandar Esye,"Selain mereka, kita juga turut apresiasi terhadap anak"" bangsa lainnya yang berjuang untuk mengharumkan nama Indonesia dalam segi apapun yang mungkin tidak tersorot dan terexpose di layar kaca. 👍💪👏"
Lanc 14,INDONESIA PASTI BANGGA PUNYA ANAK BANGSA YANG SEPERTI INI 🤑🤑
Putriku Ramadhani Nadine,"KERENN BAT, SELAMAT KALIAN"
Macro Hunter,"Semangat terus SRIKANDI2 bangsa,,,kibarkan merah putih disegala penjuru bangsa,,,"
Yunus,Bagi Tuhan Tidak ada Yang Mustahil😇
Jhon Ghost,"Indonesia berada di peringkat 35  dlm peraihan medali olympic, dgn peraihan 1emas, 1perak,dan 3perunggu. 
Dan diantara negara asia tenggara yg lainya, seperti thailand, malaysia, vietnam, dll. 
Kitalah yg paling tertinggi. 
Jd termasuk hal membanggakan."
zulaekhah cooking,"Sangat membanggakan, bulu tangkis indonesa. Selalu juara"
Amir Studio's,"Luar Biasaa
Masyallahh 🇮🇩"
KELUARGA ANTI GALAU,Keren Indonesia ku😭😭❤️❤️❤️❤️❤️
Z M,Indonesia Bangga punya kalian
Den Garil,Respect buat pemain China yang memberi selamat untuk pasangan Indonesia 🙌🏼🙌🏼
FG ENTERTAINMENT,SELAMAT YAA SEMOGA MAKIN SUKSES DAN BISA MENGHARUMKAN NAMA INDONESIA DI INTERNASIONAL
Mri Dho005,Indonesia tanah airku Indonesia hebat Indonesia mari berdo'a Indonesia bahagia seperti ini berkibarlah bendera ku Indonesia 🇮🇩🇮🇩
Inoz Pain,Salut untuk Atlit 🇮🇩 Tapi #LEBAY Komentatore 🤣😂😆
arty susanto,"Nonton vidio ini bikin mrinding haru ...
Alhamdulillah..kalian berdua hebat.."
Nauli N.,"KOMENTATOR: ""BAGI TUHAN TAK ADA YANG MUSTAHIL, BAGI TUHAN TAK ADA YANG TAK MUNGKIN"" 
TUHAN URAPI DAN BERKATI INDONESIA.... MANTAB"
hari purnomo517,"Ya ampun aku bangga dengan kalian berdua, sumpah jadi terharu"
Milaka Channel,Kami bangga dengan kalian yang meharumkan nama bangsa 😊
Mazrur fauzi,"Gak bosan bosannya nonton pertandingan ini karena bahagia sekali, dari babak awal sampai menuju tangga juara penuh haru..semangat & daya juangnya tinggi..nama kalian Harum dalam sejarah Indonesia."
LittlxMoona,Sumpah udh lama gk nangis tapi pas notnon ini jadi nangis terharu 😭
Szara Faradhiba,"ALHAMDULILLAH, CONGRATULATION!!! TERIMAKASIH BANYAK KAK GREYS DAN APRI. WE PROUD OF YOU. KALIAN LUAR BIASAAAAAA😭👏🏻💪🏻🇮🇩"
Laura manalu,Selamat pejuang olah raga Indonesia
pemancing handil,"Terimakasih sudah mempersembahkan mendali emas buat kita rakyat Indonesia ,trima kasih ganda putri indonesia,tidak sia2 perjuanganmu..sekali LG trima kasih😍😍👍👍"
Fitratunnissa,"Indonesia Kami bangga sekali.  Selamat atas kemenangan kak Grey dan ka Apriyani , sukses kakak"
Ayu20,Trharu bgt..trimakasih uda mngharumkan nm tanah air😭🥳🎊🎉
Aditio,Bangga.. Lengkap sudah semua kategori Indonesia pernah meraih Medali Emas.. Congrats and terus maju Badminton Indonesia :')
We Ni,"Selamat atas prestasinya.
Terimakasih atas perjuangan serta kinerja kerasnya.

Akan terus tercatat di masa depan."
Editor Jalanan,"Indonesia negeri tercinta, orangnya mental Juara, alhamdulillah.. Semua karena hasil kerja keras dan keinginan yng kuat untuk juara"
Gazaffx,Cepat sembuh indonesiaku sebentar lagi ulang tahun mu 🇮🇩🙏🏻
Irfan Manik,"Indonesia bangga punya kelen
Selamat buat Gresya dan rahayu
Good luck🇲🇨🇲🇨🇲🇨"
Emiliana Wae,"Ikut menangis ketika melihat mereka menangis...terharu,bangga campur aduk.terimakasih Greysia dan Apriyani.👍"
ANTONG ATG,Perjuangan yang melelahkan...menghasilkan hasil yang mebanggakan...hormat kepadamu grey dan aprii..kalian hebat..joss..mantap...
Hendrick Real,"Padhal aku nggak ikut main lho tapi aku bangga banget, apalagi ibu & bpknya"
Lek Dol,Aku gatau kenapa air mata ini menetes . Padahal ini kan sudah berlalu 😭
Eka Rosita Saidah Channel,Terimakasih Greysia sudah mengharumkan indonesia
cahyo nugroho,Hanya kata Syukur alhamdulillah yg pantas dipanjatkan kpd Allah swt dan terimakasih pd 2 Sri Kandi Indonesia yg sdh mengharumkan nama bangsa dan kebanggaan rakyat Indonesia....Ayo Indonesia bangkit....Allahuakbar.. 💪💪
hilarius kakur,"Semoga pemerintah melihat perjuangan putra putri terbaik yg selalu memperjuang dan mengharumkan nama bangsa, dan kelak jangan di tinggal setelah mereka selesai mengabdi"
Faeza,GRASYAPOLI .. UDAH WAKTU NYA MEMANG HARUS JUARA
boy william,Pencapaian yg sangat luar biasa..
Joko Pramoko,"Terharu, indonesia hebat"
𝐒hashā,"TERHARU BANGET, SAMPAI IKUTAN NANGIS TADI YA ALLAH, TERIMAKASIH TELAH MENGABULKAN DO'A KAMI, RAKYAT INDONESIA.. 😭😭💗🏸🥇"
Ewul Lop,Mana yg bilang komentatornya lebay??... dia mewakili seluruh perasaan se Indonesia 👏👏 #jebrettt
Ferdi veroz,"Ucapan Terimakasih mengalir begitu deras di saat wakil terbaik wanita Gresiya Polli dan Apriyani Rahayu ""SABET"" medali emas untuk Indonesia...."
Martina Tina,Ikut nangiss dngerr perjuanga mereka. Terimakasih telah membangvakan Indonesia. Sehat dan semngat sllu
Bepel 30,perjuangan yang luar biasa.. terima kasih Greysia & Apriyani..
Herdy iskandar,"Seperti ini yang harusnya TRENDING.

Dirgahayu Republik Indonesia..."
Ukhti Dina,Indonesia harus berkeringat untuk mendapatkan medali emas sedgkan gunung emas yg kita punya dilepas saja dengan begitu mudah...
Arka pertualangan,Nangis terharu melihat ini yuk akh siapa pun yg kalian terus berusaha untuk mendapatkan apa yg kalian cita2kan mana tangannya yg mau jadi youtuber☝️☝️☝️☝️
PRD Pardede,Hebat Indonesia terimakasih Gresia poly dan Apriani Rahayu 💗
musolin,"maaf, tapi mending pikirin lagi hostnya deh,  setelah saya liat versi announcer inggris dilapangan malah lebih kena, bahkan sampe netes ni air mata beda pas pertama versi host ini. terimakasih emas satu satunya  olimpiade 2020 kalian luar biasa"
Maxi Lela,"Kado terindah untuk HUT Tanah Airku Indonesia, tidak sadar meneteskan air mata. Selamat Greis dan Polli"
Misbahbdv,terharu dengan perjuangannya. semangat srikandi Indonesia
Rudy Rambe,Indonesia pasti bisa juara💪💪💪💪
wahyani djalil,Semangat bangt akutuh klo nonton badminton ditambah klo komentatronya bung valen.makin semngat deh. Next tournamen tayangin semoga dikomntarin lgi sama bung valen seruu soalnya
Shirotera 1601,"Dengan ini
Indonesia sudah melengkapi Disiplin Badminton dengan kilap emas Olimpiade
Hanya China yang bisa melengkapi Disiplin Badminton sebelum Tokyo 2020"
djahra fataruba,"Terima kasih atas kerja keras kalian,,,,,
Hadiah terindah untuk Indonesia menjelang HUT RI ke 76,,,,
Semoga sukses terus dan diberi kesehatan serta kekuatan dalam perjuangannya menjadi atlet terbaik,,,,
Meraih medali emas🏅🏅🏅"
Alur Cerita,"Bangga Banget Indonesia Punya Mereka ❤️🇮🇩
Indonesia Masih Punya Banyak Warganya Yg Hebat², Yuk Tunjukkan Bahwa Indonesia Itu Lebih Hebat Dri Negara-negara Lain"
Khusnun Mengaji,"Pas mereka main, di indonesia pas waktu Sholat dzuhur. Sehabis Sholat sy panjatkan doa buat mereka biar bs main tenang. Dan Alhamdulillah mereka juara.. Selamat buat GreysAp.. Semoga atlet lainya kedepannya jg berprestasi. Aamiin.."
Artis Yutub,"SELAMAT TAHUN BARU 1443H
Semoga kita semua segera mendapat rejeki yang berkah dan berlimpah aamiin

Mulai hari ini semoga selalu senantiasa berdiri kokoh dalam agama yang haq (Islam) dan Iman yang selalu bertambah, melaksanakan Perintah Allah dan menjauhi segala larangan Allah SWT.  🙏🙏"
Artis Yutub,"SELAMAT TAHUN BARU 1443H
Semoga kita semua segera mendapat rejeki yang berkah dan berlimpah aamiin

Mulai hari ini semoga selalu senantiasa berdiri kokoh dalam agama yang haq (Islam) dan Iman yang selalu bertambah, melaksanakan Perintah Allah dan menjauhi segala larangan Allah SWT.  🙏🙏"
Generasi Muda,"puji Tuhan, emas untuk kado HUT RI, selamat dan terima kasih untuk greyap. Indonesia bangga pada kalian"
Assara Bintari Kusuma Wardana,"TERIMA KASIH
- untuk prestasi yang ditorehkan
- telah menjadi teladan bagi kami semua
-"
Tesalonika Ardinda,Komentatornya mood bangett.. Berasa lagi penyembahan 😅😅
Cute Origami,Indonesia bangga punya kalian!!
Meitha Augustyn,Duh kenapa tiap nntn ini nangis lagi lagi lagi... Terharu skaliii
azizah,"Alhamdulillahirobbil'alamiin.. Terimakasih banyak untuk kerja kerasnya Kak Gresia n Apri🙏😭❤️
Masih merinding dan haru lihat ini 😭💙"
Dunya STUDIOS,Kami Bangga Atas prestasi kalian semua pahlawan Olahraga Indonesia..?
cakra buana,"8 tahun bekerja lalu di berhentikan begitu saja, semoga anaku kelak bisa seperti mereka dan mengangkat derajat kedua orangtua"
Mallika Rosta,"Jd ingat moment2 dulu kiat, susi s,,mia audina,,rexy mainaky, semua,,terharuuuu sekalu,,mau ikut nangissss"
Ade Krisna,Krenn bgt bangga bgt semangat
daffa 7,"Lengkap,semua cabang di badminton sekrg pernah dapat emas semua 👍🏻
Hampir mau nangis sih:)
Good job for you guys!"
ْه,😭😭😭 Merinding liatnyaa
Evi Sudarwanto,"Alhamdulillah, kado untuk Indonesia!!! 🌼"
Putu Kayla Ayu,Plis. Gua nonton ini berulang ulang kali😭😭😭. Masih bangga
